,work_year,experience_level,experience_desc,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,role_category
0,2020,MI,Mid-level,FT,Data Scientist,70000,EUR,79833.00,DE,0,DE,L,Data Analysis
1,2020,SE,Senior-level,FT,Machine Learning Scientist,260000,USD,260000.00,JP,0,JP,S,Other
2,2020,SE,Senior-level,FT,Big Data Engineer,85000,GBP,109024.00,GB,50,GB,M,Automation-Focused
3,2020,MI,Mid-level,FT,Product Data Analyst,20000,USD,20000.00,HN,0,HN,S,Data Analysis
4,2020,SE,Senior-level,FT,Machine Learning Engineer,150000,USD,150000.00,US,50,US,L,Automation-Focused
5,2020,EN,Entry-level,FT,Data Analyst,72000,USD,72000.00,US,100,US,L,Data Analysis
6,2020,SE,Senior-level,FT,Lead Data Scientist,190000,USD,190000.00,US,100,US,S,Data Analysis
7,2020,MI,Mid-level,FT,Data Scientist,11000000,HUF,35735.00,HU,50,HU,L,Data Analysis
8,2020,MI,Mid-level,FT,Business Data Analyst,135000,USD,135000.00,US,100,US,L,Data Analysis
9,2020,SE,Senior-level,FT,Lead Data Engineer,125000,USD,125000.00,NZ,50,NZ,S,Automation-Focused
10,2020,EN,Entry-level,FT,Data Scientist,45000,EUR,51321.00,FR,0,FR,S,Data Analysis
11,2020,MI,Mid-level,FT,Data Scientist,3000000,INR,40481.00,IN,0,IN,L,Data Analysis
12,2020,EN,Entry-level,FT,Data Scientist,35000,EUR,39916.00,FR,0,FR,M,Data Analysis
13,2020,MI,Mid-level,FT,Lead Data Analyst,87000,USD,87000.00,US,100,US,L,Data Analysis
14,2020,MI,Mid-level,FT,Data Analyst,85000,USD,85000.00,US,100,US,L,Data Analysis
15,2020,MI,Mid-level,FT,Data Analyst,8000,USD,8000.00,PK,50,PK,L,Data Analysis
16,2020,EN,Entry-level,FT,Data Engineer,4450000,JPY,41689.00,JP,100,JP,S,Automation-Focused
17,2020,SE,Senior-level,FT,Big Data Engineer,100000,EUR,114047.00,PL,100,GB,S,Automation-Focused
18,2020,EN,Entry-level,FT,Data Science Consultant,423000,INR,5707.00,IN,50,IN,M,Other
19,2020,MI,Mid-level,FT,Lead Data Engineer,56000,USD,56000.00,PT,100,US,M,Automation-Focused
20,2020,MI,Mid-level,FT,Machine Learning Engineer,299000,CNY,43331.00,CN,0,CN,M,Automation-Focused
21,2020,MI,Mid-level,FT,Product Data Analyst,450000,INR,6072.00,IN,100,IN,L,Data Analysis
22,2020,SE,Senior-level,FT,Data Engineer,42000,EUR,47899.00,GR,50,GR,L,Automation-Focused
23,2020,MI,Mid-level,FT,BI Data Analyst,98000,USD,98000.00,US,0,US,M,Data Analysis
24,2020,MI,Mid-level,FT,Lead Data Scientist,115000,USD,115000.00,AE,0,AE,L,Data Analysis
25,2020,EX,Executive-level,FT,Director of Data Science,325000,USD,325000.00,US,100,US,L,Other
26,2020,EN,Entry-level,FT,Research Scientist,42000,USD,42000.00,NL,50,NL,L,Other
27,2020,SE,Senior-level,FT,Data Engineer,720000,MXN,33511.00,MX,0,MX,S,Automation-Focused
28,2020,EN,Entry-level,CT,Business Data Analyst,100000,USD,100000.00,US,100,US,L,Data Analysis
29,2020,SE,Senior-level,FT,Machine Learning Manager,157000,CAD,117104.00,CA,50,CA,L,Other
30,2020,MI,Mid-level,FT,Data Engineering Manager,51999,EUR,59303.00,DE,100,DE,S,Automation-Focused
31,2020,EN,Entry-level,FT,Big Data Engineer,70000,USD,70000.00,US,100,US,L,Automation-Focused
32,2020,SE,Senior-level,FT,Data Scientist,60000,EUR,68428.00,GR,100,US,L,Data Analysis
33,2020,MI,Mid-level,FT,Research Scientist,450000,USD,450000.00,US,0,US,M,Other
34,2020,MI,Mid-level,FT,Data Analyst,41000,EUR,46759.00,FR,50,FR,L,Data Analysis
35,2020,MI,Mid-level,FT,Data Engineer,65000,EUR,74130.00,AT,50,AT,L,Automation-Focused
36,2020,MI,Mid-level,FT,Data Science Consultant,103000,USD,103000.00,US,100,US,L,Other
37,2020,EN,Entry-level,FT,Machine Learning Engineer,250000,USD,250000.00,US,50,US,L,Automation-Focused
38,2020,EN,Entry-level,FT,Data Analyst,10000,USD,10000.00,NG,100,NG,S,Data Analysis
39,2020,EN,Entry-level,FT,Machine Learning Engineer,138000,USD,138000.00,US,100,US,S,Automation-Focused
